Query	Reference	%ANI	Num_Fragments_Mapped	Total_Query_Fragments	%Query_Aligned	Basepairs_Query_Aligned
SRR3214715	GCF_000009085.1_ASM908v1	99.3655	517	524	98.6641	1551000
SRR3215024	GCF_000009085.1_ASM908v1	99.404	517	525	98.4762	1551000
SRR3215107	GCF_000009085.1_ASM908v1	99.403	517	525	98.4762	1551000
